_id,CIVIC_CENTRE,DEATH_LICENSES,PLACE_OF_DEATH,TIME_PERIOD
13859,SC,115,Outside City Limits,Sep-12
13860,SC,590,Toronto,Sep-12
13861,ET,103,Outside City Limits,Oct-12
13862,ET,451,Toronto,Oct-12
13863,NY,107,Outside City Limits,Oct-12
13864,NY,377,Toronto,Oct-12
13865,SC,84,Outside City Limits,Oct-12
13866,SC,473,Toronto,Oct-12
13867,ET,85,Outside City Limits,Nov-12
13868,ET,293,Toronto,Nov-12
13869,NY,88,Outside City Limits,Nov-12
13870,NY,314,Toronto,Nov-12
13871,SC,79,Outside City Limits,Nov-12
13872,SC,434,Toronto,Nov-12
13873,ET,82,Outside City Limits,Dec-12
13874,ET,636,Toronto,Dec-12
13875,NY,73,Outside City Limits,Dec-12
13876,NY,311,Toronto,Dec-12
13877,SC,36,Outside City Limits,Dec-12
13878,SC,281,Toronto,Dec-12
13879,ET,283,Outside City Limits,Jan-13
13880,ET,631,Toronto,Jan-13
13881,NY,117,Outside City Limits,Jan-13
13882,NY,418,Toronto,Jan-13
13883,SC,78,Outside City Limits,Jan-13
13884,SC,582,Toronto,Jan-13
13885,ET,103,Outside City Limits,Feb-13
13886,ET,434,Toronto,Feb-13
13887,NY,54,Outside City Limits,Feb-13
13888,NY,243,Toronto,Feb-13
13889,SC,59,Outside City Limits,Feb-13
13890,SC,420,Toronto,Feb-13
13891,ET,94,Outside City Limits,Mar-13
13892,ET,312,Toronto,Mar-13
13893,NY,80,Outside City Limits,Mar-13
13894,NY,234,Toronto,Mar-13
13895,SC,95,Outside City Limits,Mar-13
13896,SC,416,Toronto,Mar-13
13897,ET,163,Outside City Limits,Apr-13
13898,ET,669,Toronto,Apr-13
13899,NY,47,Outside City Limits,Apr-13
13900,NY,226,Toronto,Apr-13
13901,SC,76,Outside City Limits,Apr-13
13902,SC,501,Toronto,Apr-13
13903,ET,82,Outside City Limits,May-13
13904,ET,435,Toronto,May-13
13905,NY,81,Outside City Limits,May-13
13906,NY,276,Toronto,May-13
13907,SC,86,Outside City Limits,May-13
