_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
8553,TO,333,Feb-15
8554,ET,155,Mar-15
8555,NY,224,Mar-15
8556,SC,222,Mar-15
8557,TO,559,Mar-15
8558,ET,149,Apr-15
8559,NY,273,Apr-15
8560,SC,257,Apr-15
8561,TO,665,Apr-15
8562,ET,245,May-15
8563,NY,307,May-15
8564,SC,306,May-15
8565,TO,805,May-15
8566,ET,268,Jun-15
8567,NY,386,Jun-15
8568,SC,346,Jun-15
8569,TO,927,Jun-15
8570,ET,317,Jul-15
8571,NY,387,Jul-15
8572,SC,390,Jul-15
8573,TO,1090,Jul-15
8574,ET,264,Aug-15
8575,NY,336,Aug-15
8576,SC,325,Aug-15
8577,TO,930,Aug-15
8578,ET,174,Sep-15
8579,NY,251,Sep-15
8580,SC,253,Sep-15
8581,TO,713,Sep-15
8582,ET,135,Oct-15
8583,NY,211,Oct-15
8584,SC,186,Oct-15
8585,TO,478,Oct-15
8586,ET,91,Nov-15
8587,NY,176,Nov-15
8588,SC,149,Nov-15
8589,TO,342,Nov-15
8590,ET,104,Dec-15
8591,NY,169,Dec-15
8592,SC,144,Dec-15
8593,TO,335,Dec-15
8594,ET,92,Jan-16
8595,NY,156,Jan-16
8596,SC,131,Jan-16
8597,TO,346,Jan-16
8598,ET,123,Feb-16
8599,NY,170,Feb-16
8600,SC,173,Feb-16
8601,TO,364,Feb-16
8602,ET,155,Mar-16
8603,NY,197,Mar-16
8604,SC,204,Mar-16
8605,TO,517,Mar-16
8606,ET,197,Apr-16
8607,NY,257,Apr-16
8608,SC,246,Apr-16
8609,TO,695,Apr-16
8610,ET,247,May-16
8611,NY,326,May-16
8612,SC,306,May-16
8613,TO,895,May-16
8614,ET,255,Jun-16
8615,NY,344,Jun-16
8616,SC,341,Jun-16
8617,TO,1071,Jun-16
8618,ET,274,Jul-16
8619,NY,384,Jul-16
8620,SC,348,Jul-16
8621,TO,1041,Jul-16
8622,ET,296,Aug-16
8623,NY,358,Aug-16
8624,SC,333,Aug-16
8625,TO,1072,Aug-16
8626,ET,228,Sep-16
8627,NY,265,Sep-16
8628,SC,207,Sep-16
8629,TO,656,Sep-16
8630,ET,139,Oct-16
8631,NY,187,Oct-16
8632,SC,171,Oct-16
8633,TO,489,Oct-16
8634,ET,82,Nov-16
8635,NY,148,Nov-16
8636,SC,135,Nov-16
8637,TO,388,Nov-16
8638,ET,96,Dec-16
8639,NY,164,Dec-16
8640,SC,125,Dec-16
8641,TO,362,Dec-16
8642,ET,102,Jan-17
8643,NY,146,Jan-17
8644,SC,147,Jan-17
8645,TO,347,Jan-17
8646,ET,104,Feb-17
8647,NY,170,Feb-17
8648,SC,139,Feb-17
8649,TO,357,Feb-17
8650,ET,183,Mar-17
8651,NY,237,Mar-17
8652,SC,223,Mar-17
8653,TO,608,Mar-17
8654,ET,173,Apr-17
8655,NY,276,Apr-17
8656,SC,222,Apr-17
8657,TO,627,Apr-17
8658,ET,234,May-17
8659,NY,323,May-17
8660,SC,323,May-17
8661,TO,894,May-17
8662,ET,250,Jun-17
8663,NY,350,Jun-17
8664,SC,346,Jun-17
8665,TO,943,Jun-17
8666,ET,287,Jul-17
8667,NY,367,Jul-17
8668,SC,320,Jul-17
8669,TO,971,Jul-17
8670,ET,324,Aug-17
8671,NY,344,Aug-17
8672,SC,312,Aug-17
8673,TO,1066,Aug-17
8674,ET,207,Sep-17
8675,NY,268,Sep-17
8676,SC,233,Sep-17
8677,TO,729,Sep-17
8678,ET,144,Oct-17
8679,NY,219,Oct-17
8680,SC,194,Oct-17
8681,TO,552,Oct-17
8682,ET,98,Nov-17
8683,NY,185,Nov-17
